#,Success,Message
2017-05-01T18:45:56.097451,0,Start
2017-05-01T18:45:57.179008,-1,9
2017-05-01T18:45:58.215685,0,Shut down
2017-05-01T18:56:51.254453,0,Start
2017-05-01T18:56:54.374194,0,Shut down
2017-05-01T18:59:49.426440,0,Start
2017-05-01T18:59:58.697110,-1,42
2017-05-01T18:59:59.778971,0,Shut down
2017-05-01T19:01:18.985918,0,Start
2017-05-01T19:01:20.070057,0,Shut down
2017-05-01T19:13:32.245624,0,Start
2017-05-01T19:13:32.279228,-1,2
2017-05-01T19:24:09.925066,0,Start
2017-05-01T19:24:53.931688,0,Start
2017-05-01T19:25:25.047317,0,Start
2017-05-01T19:25:27.195300,-1,32
2017-05-01T19:26:03.567876,0,Start
2017-05-01T19:26:09.728254,-1,23
2017-05-01T19:26:20.135224,-1,79
2017-05-01T19:26:27.469964,-1,24
2017-05-01T19:26:38.930058,-1,34
2017-05-01T19:26:50.327161,-1,75
2017-05-01T19:26:56.618987,-1,41
2017-05-01T19:27:04.925063,-1,52
2017-05-01T19:27:16.314521,-1,3#
2017-05-01T19:27:25.652664,-1,17
2017-05-01T19:27:35.981151,-1,88
2017-05-01T19:27:44.316379,-1,#8
2017-05-01T19:27:51.637540,-1,62
2017-05-01T19:27:54.749300,0,Start
2017-05-01T19:27:55.861517,-1,19
2017-05-01T19:28:05.259442,-1,07
2017-05-01T19:28:11.583655,-1,23
2017-05-01T19:28:18.901911,-1,21
2017-05-01T19:28:26.229291,-1,31
2017-05-01T19:28:36.573890,-1,12
2017-05-01T19:28:42.093154,0,Start
2017-05-01T19:29:17.990144,0,Start
2017-05-01T19:30:28.838496,0,Start
2017-05-01T19:34:01.709177,0,Start
2017-05-01T19:34:06.836046,-1,231
2017-05-01T19:34:20.267977,-1,753
2017-05-01T19:34:34.740376,-1,624
2017-05-01T19:34:44.113649,-1,312
2017-05-01T19:34:57.530730,-1,#41
2017-05-01T19:35:12.952081,-1,516
2017-05-01T19:35:22.320595,-1,563
2017-05-01T19:35:43.685521,-1,274
2017-05-01T19:35:54.085865,-1,641
2017-05-01T19:36:09.528051,-1,195
2017-05-01T19:36:19.949485,-1,986
2017-05-01T19:36:36.369561,-1,41#
2017-05-01T19:36:43.703885,-1,382
2017-05-01T19:36:54.038101,-1,122
2017-05-01T19:37:04.424495,-1,923
2017-05-01T19:37:17.823475,-1,567
2017-05-01T19:37:26.142412,-1,632
2017-05-01T19:37:41.472098,-1,11*
2017-05-01T19:37:51.825269,-1,524
2017-05-01T19:38:01.237760,-1,93#
2017-05-01T19:38:03.727617,0,Start
2017-05-01T19:38:06.845834,-1,365
2017-05-01T19:38:11.022918,-1,422
2017-05-01T19:38:16.216829,-1,115
2017-05-01T19:38:25.441168,-1,91#
2017-05-01T19:38:29.605514,-1,8#3
2017-05-01T19:38:38.812861,-1,391
2017-05-01T19:38:46.001725,-1,65*
2017-05-01T19:38:54.177017,-1,425
2017-05-01T19:38:59.339728,-1,536
2017-05-01T19:39:05.520736,-1,813
2017-05-01T19:39:21.949329,-1,3*6
2017-05-01T19:39:29.152974,-1,158
2017-05-01T19:39:38.332927,-1,918
2017-05-01T19:39:42.386522,0,Start
2017-05-01T19:39:48.542836,-1,111
2017-05-01T19:39:55.773474,-1,*16
2017-05-01T19:40:31.904187,0,Start
2017-05-01T19:40:35.916387,-1,383
2017-05-01T19:40:44.931030,-1,646
2017-05-01T19:40:59.954477,-1,632
2017-05-01T19:41:07.967743,-1,837
2017-05-01T19:41:19.988298,-1,578
2017-05-01T19:41:35.418021,0,Start
2017-05-01T19:41:39.425038,-1,317
2017-05-01T19:41:45.435350,-1,130
2017-05-01T19:41:50.444334,-1,267
2017-05-01T19:41:55.453253,-1,161
2017-05-01T19:42:05.469392,-1,8#5
2017-05-01T19:42:14.482656,-1,813
2017-05-01T19:42:21.493125,-1,663
2017-05-01T19:42:27.504068,-1,291
2017-05-01T19:42:32.512463,-1,861
2017-05-01T19:42:37.521922,-1,9#1
2017-05-01T19:42:51.541611,-1,7#6
2017-05-01T19:42:57.553855,-1,614
2017-05-01T19:43:00.561348,-1,632
2017-05-01T19:43:07.573687,-1,31#
2017-05-01T19:43:18.590378,-1,076
2017-05-01T19:43:23.600765,-1,239
2017-05-01T19:43:28.609414,-1,433
2017-05-01T19:43:34.619432,-1,76#
2017-05-01T19:43:38.626806,-1,433
2017-05-01T19:43:42.634593,-1,331
2017-05-01T19:43:54.652436,-1,226
2017-05-01T19:44:02.664892,-1,938
2017-05-01T19:44:12.679971,-1,691
2017-05-01T19:44:17.688541,-1,692
2017-05-01T19:44:23.698411,-1,322
2017-05-01T19:44:28.706858,-1,121
2017-05-01T19:44:35.716931,-1,865
2017-05-01T19:44:39.724281,-1,326
2017-05-01T19:44:48.738135,-1,10#
2017-05-01T19:44:50.743343,-1,246
2017-05-01T19:45:04.763258,-1,426
2017-05-01T19:45:09.771814,-1,635
2017-05-01T19:45:17.784063,-1,565
2017-05-01T19:45:28.800782,-1,319
2017-05-01T19:45:42.823570,-1,859
2017-05-01T19:45:51.839492,-1,941
2017-05-01T19:45:53.845119,-1,276
2017-05-01T19:46:05.864070,-1,511
2017-05-01T19:46:10.874023,-1,648
2017-05-01T19:46:21.892734,-1,722
2017-05-01T19:46:33.911263,-1,742
2017-05-01T19:46:39.923163,-1,161
2017-05-01T19:46:43.932186,-1,203
2017-05-01T19:46:48.941309,-1,365
2017-05-01T19:46:54.952005,-1,*26
2017-05-01T19:47:00.963007,-1,432
2017-05-01T19:47:07.973810,-1,*37
2017-05-01T19:47:14.982631,-1,622
2017-05-01T19:47:23.996362,-1,#92
2017-05-01T19:47:30.006421,-1,423
2017-05-01T19:47:42.022940,-1,339
2017-05-01T19:47:49.034133,-1,549
2017-05-01T19:47:58.051217,-1,9#1
2017-05-01T19:48:05.063033,-1,932
2017-05-01T19:48:14.075959,-1,358
2017-05-01T19:48:22.088825,-1,374
2017-05-01T19:48:26.095636,-1,#11
2017-05-01T19:48:31.105680,-1,093
2017-05-01T19:48:35.113113,-1,24*
2017-05-01T19:48:43.125996,-1,641
2017-05-01T19:48:55.145425,-1,856
2017-05-01T19:49:02.156616,-1,322
2017-05-01T19:49:08.166241,-1,264
2017-05-01T19:49:11.172449,-1,134
2017-05-01T19:49:21.188210,-1,193
2017-05-01T19:49:33.208011,-1,899
2017-05-01T19:49:45.225729,-1,316
2017-05-01T19:49:52.236928,-1,2#2
2017-05-01T19:49:58.246997,-1,36*
2017-05-01T19:50:16.913627,0,Start
2017-05-01T19:50:21.922680,-1,221
2017-05-01T19:50:30.938725,-1,204
2017-05-01T19:50:36.950684,-1,702
2017-05-01T19:50:38.956795,-1,126
2017-05-01T19:50:42.964242,-1,603
2017-05-01T19:50:49.976027,-1,412
2017-05-01T19:50:54.986581,-1,4#2
2017-05-01T19:50:55.989873,-1,672
2017-05-01T19:50:59.997107,-1,694
2017-05-01T19:51:07.009853,-1,230
2017-05-01T19:51:19.028734,-1,653
2017-05-01T19:51:26.042166,-1,267
2017-05-01T19:51:34.055583,-1,746
2017-05-01T19:51:43.070247,-1,#47
2017-05-01T19:51:46.077047,-1,218
2017-05-01T19:51:57.830987,0,Start
2017-05-01T19:52:07.847426,-1,066
2017-05-01T19:52:13.856769,-1,019
2017-05-01T19:52:22.761647,0,Start
2017-05-01T19:52:27.770797,-1,*53
2017-05-01T19:52:44.795655,-1,316
2017-05-01T19:53:02.822272,-1,24#
2017-05-01T19:53:24.855528,-1,614
2017-05-01T19:53:41.879076,-1,214
2017-05-01T19:53:56.901120,-1,235
2017-05-01T19:54:15.791424,0,Start
2017-05-01T19:54:21.801449,-1,179
2017-05-01T19:54:38.827244,-1,35#
2017-05-01T19:54:51.847418,-1,54*
2017-05-01T19:55:10.875622,-1,625
2017-05-01T19:55:30.765328,0,Start
2017-05-01T19:55:55.383117,0,Start
2017-05-01T19:56:39.425050,0,Start
2017-05-01T19:56:43.433873,-1,742
2017-05-01T19:56:56.452185,-1,163
2017-05-01T19:57:14.477975,-1,374
2017-05-01T19:57:29.497775,-1,243
2017-05-01T19:57:46.521711,-1,62*
2017-05-01T19:58:09.148472,0,Start
2017-05-01T19:58:16.160752,-1,333
2017-05-01T19:58:37.191753,-1,6#5
2017-05-01T19:58:56.218518,-1,468
2017-05-01T19:59:09.237386,-1,180
2017-05-01T19:59:24.298068,0,Start
2017-05-01T19:59:39.321186,-1,918
2017-05-01T19:59:55.343980,-1,536
2017-05-01T20:00:17.375173,-1,387
2017-05-01T20:00:32.397279,-1,258
2017-05-01T20:00:57.267702,0,Start
2017-05-01T20:01:03.278656,-1,384
2017-05-01T20:01:18.300656,-1,132
2017-05-01T20:01:41.330771,-1,#9#
2017-05-01T20:01:55.350379,-1,322
2017-05-01T20:02:12.375497,-1,401
2017-05-01T20:02:31.403179,-1,765
2017-05-01T20:02:47.425645,-1,112
2017-05-01T20:03:02.448238,-1,959
2017-05-01T20:03:30.269873,0,Start
2017-05-01T20:03:38.282922,-1,316
2017-05-01T20:03:54.307142,-1,225
2017-05-01T20:04:10.329562,-1,466
2017-05-01T20:04:27.353891,-1,619
2017-05-01T20:04:48.966063,0,Start
2017-05-01T20:04:54.976406,-1,513
2017-05-01T20:05:09.400758,0,Start
2017-05-01T20:05:13.409013,-1,26#
2017-05-01T20:05:33.436343,-1,567
2017-05-01T20:06:03.224095,0,Start
2017-05-01T20:06:05.229222,-1,173
2017-05-01T20:06:23.255663,-1,948
2017-05-01T20:06:39.277013,-1,245
2017-05-01T20:07:08.500697,0,Start
2017-05-01T20:08:14.987045,0,Start
2017-05-01T20:09:33.530621,0,Start
2017-05-01T20:14:17.880507,0,Start
2017-05-01T20:14:32.905778,-1,4527357
2017-05-01T20:15:04.332264,0,Start
2017-05-01T20:15:21.880942,0,Start
2017-05-01T20:15:31.900328,-1,8681216
2017-05-01T22:24:39.268072,0,Start
2017-05-01T22:24:45.586766,0,Start
2017-05-01T22:25:18.748523,0,Start
2017-05-01T22:25:30.939576,0,Start
2017-05-01T22:29:48.521235,0,Start
2017-05-01T22:30:04.871103,0,Start
2017-05-01T22:33:24.150157,0,Start
2017-05-01T22:36:44.207396,0,Start
2017-05-01T22:37:35.606986,0,Start
2017-05-01T22:37:50.632200,-1,13952#8
2017-05-01T22:38:12.666653,-1,6894965
2017-05-01T22:38:33.700451,-1,9055624
2017-05-01T22:38:51.667371,0,Start
2017-05-01T22:39:03.689252,-1,4493*14
2017-05-01T22:39:31.730821,-1,2952137
2017-05-01T22:40:01.776450,-1,6#66116
2017-05-01T22:40:30.921397,0,Start
2017-05-01T22:40:40.940255,-1,#765473
2017-05-01T22:41:06.981862,-1,2321973
2017-05-01T22:41:43.860327,0,Start
2017-05-01T22:41:55.883344,-1,3246731
2017-05-01T22:42:21.923738,-1,1814244
2017-05-01T22:42:51.966806,-1,20*4572
2017-05-01T22:43:22.513155,0,Start
2017-05-01T22:43:30.530246,-1,7682213
2017-05-01T22:43:57.571437,-1,4922236
2017-05-01T22:44:20.607531,-1,3136637
2017-05-01T22:44:54.129089,0,Start
2017-05-01T22:45:05.149514,-1,3625178
2017-05-01T22:45:33.561554,0,Start
2017-05-01T22:46:08.777886,0,Start
2017-05-01T22:46:23.804552,-1,56*5610
2017-05-01T22:46:45.838095,-1,2857#33
2017-05-01T22:47:01.273130,0,Start
2017-05-01T22:47:15.297884,-1,6113668
2017-05-01T22:47:45.345565,-1,518292#
2017-05-01T22:48:06.379324,-1,172#711
2017-05-01T22:48:26.412013,-1,8223136
2017-05-01T22:48:52.451248,-1,8433353
2017-05-01T22:49:16.489248,-1,2962*52
2017-05-01T22:49:42.532254,-1,672318#
2017-05-01T22:50:08.572695,-1,6425335
2017-05-01T22:50:43.625763,-1,9952929
2017-05-01T22:51:02.656353,-1,4325592
2017-05-01T22:51:37.709342,-1,4295822
2017-05-01T22:52:05.754315,-1,#975635
2017-05-01T22:52:29.789818,-1,2226*73
2017-05-01T22:53:00.836829,-1,3592259
2017-05-01T22:53:23.871604,-1,4613*2#
2017-05-01T22:53:44.904768,-1,*556366
2017-05-01T22:54:09.945314,-1,3511918
2017-05-01T22:54:38.990553,-1,1194134
2017-05-01T22:55:08.037341,-1,322*534
2017-05-01T22:55:39.086708,-1,5175190
2017-05-01T22:56:13.137195,-1,0*32532
2017-05-01T22:56:42.181111,-1,3855*32
2017-05-01T22:57:02.214326,-1,581#186
2017-05-01T22:57:25.250563,-1,28#9433
2017-05-01T22:57:49.286964,-1,6159063
2017-05-01T22:58:14.325624,-1,6105742
2017-05-01T22:58:41.367042,-1,1520899
2017-05-01T22:59:06.404513,-1,513049#
2017-05-01T22:59:31.443132,-1,7754223
2017-05-01T22:59:48.470588,-1,2635532
2017-05-01T23:00:24.524011,-1,0318899
2017-05-01T23:00:52.566213,-1,2336955
2017-05-01T23:01:18.605496,-1,32#9243
2017-05-01T23:01:43.643943,-1,3651103
2017-05-01T23:02:11.687827,-1,#329862
2017-05-01T23:02:33.722179,-1,1216102
2017-05-01T23:02:52.752651,-1,2426152
2017-05-01T23:03:18.791074,-1,1352#15
2017-05-01T23:03:48.836189,-1,7266361
2017-05-01T23:04:18.880975,-1,4589982
2017-05-01T23:04:46.921862,-1,11*1440
2017-05-01T23:05:13.962912,-1,6913652
2017-05-01T23:05:35.996246,-1,5181165
2017-05-01T23:06:02.036754,-1,7131007
2017-05-01T23:06:29.079073,-1,8536113
2017-05-01T23:07:01.126196,-1,8244389
2017-05-01T23:07:29.170411,-1,290388*
2017-05-01T23:07:55.211746,-1,614921*
2017-05-01T23:09:09.304744,0,Start
2017-05-01T23:10:02.662171,0,Start
2017-05-01T23:10:14.684828,-1,5513445
2017-05-01T23:10:27.770857,0,Start
2017-05-01T23:10:40.793246,-1,1912222
2017-05-01T23:11:03.828073,-1,33522#1
2017-05-01T23:11:31.868421,-1,42753#5
2017-05-01T23:11:52.897057,-1,4216217
2017-05-01T23:12:12.930543,-1,2244824
2017-05-01T23:12:35.964300,-1,8731516
2017-05-01T23:12:50.762532,0,Start
2017-05-01T23:12:57.776010,-1,4224932
2017-05-01T23:13:18.809494,-1,532*551
2017-05-01T23:13:43.846940,-1,23916*5
2017-05-01T23:14:12.690601,0,Start
2017-05-01T23:14:31.432584,0,Start
2017-05-01T23:14:44.455847,-1,380981#
2017-05-01T23:15:12.496188,-1,4291269
2017-05-01T23:15:32.710536,0,Start
2017-05-02T00:47:51.567394,0,Start
2017-05-02T00:48:47.722199,0,Start
2017-05-02T00:49:02.701099,0,Start
2017-05-02T00:49:16.727678,-1,7459625
2017-05-02T00:54:37.660641,0,Start
2017-05-02T00:54:47.679990,-1,5636537
2017-05-02T00:55:15.723495,-1,124*246
